Jahr;Einwohner
1970;227.461
1971;229.357
1972;230.948
1973;232.933
1974;231.538
1975;229.117
1976;227.657
1977;226.905
1978;226.750
1979;228.573
1980;230.953
1981;230.854
1982;229.831
1983;229.413
1984;229.013
1985;229.399
1986;230.816
1987;231.284
1988;233.827
1989;238.263
1990;243.092
1991;247.741
1992;250.515
1993;252.275
1994;254.230
1995;255.203
1996;255.669
1997;254.929
1998;255.207
1999;256.136
2000;256.792
2001;257.651
2002;258.488
2003;258.707
2004;258.492
2005;257.783
2006;256.967
2007;255.807
2008;254.833
2009;253.522
2010;252.548
2011;247.194
2012;247.835
2013;248.813
2014;250.117
2015;252.749
2016;254.618
2017;256.345
2018;257.253
2019;258.145
2020;258.781
2021;259.046
2022;261.857
2023;263.706
