Jahr;Esslingen
1970;429.418
1971;436.756
1972;442.546
1973;450.515
1974;453.781
1975;450.232
1976;449.245
1977;451.904
1978;454.294
1979;457.588
1980;460.156
1981;460.620
1982;458.729
1983;455.784
1984;454.019
1985;456.362
1986;459.190
1987;462.363
1988;466.932
1989;473.625
1990;480.436
1991;486.150
1992;490.821
1993;490.831
1994;489.528
1995;490.169
1996;492.851
1997;493.131
1998;494.686
1999;497.826
2000;500.666
2001;505.340
2002;509.495
2003;511.564
2004;513.105
2005;514.245
2006;514.108
2007;514.503
2008;514.646
2009;514.109
2010;514.830
2011;504.961
2012;508.577
2013;512.279
2014;516.779
2015;524.127
2016;528.792
2017;532.447
2018;533.859
2019;535.024
2020;533.617
2021;533.388
2022;540.226
2023;542.582
