Jahr;Stuttgart
1970;634.202
1971;632.947
1972;630.390
1973;624.835
1974;613.263
1975;600.421
1976;590.135
1977;584.554
1978;583.700
1979;581.989
1980;580.648
1981;583.001
1982;573.577
1983;567.020
1984;561.567
1985;561.628
1986;565.486
1987;556.302
1988;562.658
1989;570.699
1990;579.988
1991;591.946
1992;599.415
1993;594.406
1994;588.482
1995;585.604
1996;585.540
1997;585.274
1998;581.961
1999;582.443
2000;583.874
2001;587.152
2002;588.477
2003;589.161
2004;590.657
2005;592.569
2006;593.923
2007;597.176
2008;600.068
2009;601.646
2010;606.588
2011;591.015
2012;597.939
2013;604.297
2014;612.441
2015;623.738
2016;628.032
2017;632.743
2018;634.830
2019;635.911
2020;630.305
2021;626.275
2022;632.865
2023;633.484
