"Produkt_Code","SDO_ID","Zeitstempel","Wert","Qualitaet_Byte","Qualitaet_Niveau"
"OBS_DEU_P1Y_T2M","4928","1970-01-01","9.02","4","5",
"OBS_DEU_P1Y_T2M","4928","1971-01-01","9.51","4","5",
"OBS_DEU_P1Y_T2M","4928","1972-01-01","8.76","4","5",
"OBS_DEU_P1Y_T2M","4928","1973-01-01","9.15","4","5",
"OBS_DEU_P1Y_T2M","4928","1974-01-01","9.96","4","5",
"OBS_DEU_P1Y_T2M","4928","1975-01-01","9.77","4","5",
"OBS_DEU_P1Y_T2M","4928","1976-01-01","9.78","4","5",
"OBS_DEU_P1Y_T2M","4928","1977-01-01","9.89","4","5",
"OBS_DEU_P1Y_T2M","4928","1978-01-01","8.83","4","5",
"OBS_DEU_P1Y_T2M","4928","1979-01-01","9.41","4","5",
"OBS_DEU_P1Y_T2M","4928","1980-01-01","9","4","5",
"OBS_DEU_P1Y_T2M","4928","1981-01-01","9.62","4","10",
"OBS_DEU_P1Y_T2M","4928","1982-01-01","9.98","4","10",
"OBS_DEU_P1Y_T2M","4928","1983-01-01","10.1","4","10",
"OBS_DEU_P1Y_T2M","4928","1984-01-01","9.12","4","10",
"OBS_DEU_P1Y_T2M","4928","1985-01-01","9.03","4","10",
"OBS_DEU_P1Y_T2M","4928","1986-01-01","9.38","4","10",
"OBS_DEU_P1Y_T2M","4928","1987-01-01","9.1","4","10",
"OBS_DEU_P1Y_T2M","4928","1988-01-01","10.42","4","10",
"OBS_DEU_P1Y_T2M","4928","1989-01-01","10.7","4","10",
"OBS_DEU_P1Y_T2M","4928","1990-01-01","10.8","4","10",
"OBS_DEU_P1Y_T2M","4928","1991-01-01","9.92","4","10",
"OBS_DEU_P1Y_T2M","4928","1992-01-01","10.74","4","10",
"OBS_DEU_P1Y_T2M","4928","1993-01-01","10.08","4","10",
"OBS_DEU_P1Y_T2M","4928","1994-01-01","11.46","4","10",
"OBS_DEU_P1Y_T2M","4928","1995-01-01","10.28","4","10",
"OBS_DEU_P1Y_T2M","4928","1996-01-01","8.83","4","10",
"OBS_DEU_P1Y_T2M","4928","1997-01-01","10.49","4","10",
"OBS_DEU_P1Y_T2M","4928","1998-01-01","10.63","4","10",
"OBS_DEU_P1Y_T2M","4928","1999-01-01","10.81","4","10",
"OBS_DEU_P1Y_T2M","4928","2001-01-01","10.62","4","3",
"OBS_DEU_P1Y_T2M","4928","2002-01-01","10.98","4","3",
"OBS_DEU_P1Y_T2M","4928","2003-01-01","11.23","4","3",
"OBS_DEU_P1Y_T2M","4928","2004-01-01","10.42","4","3",
"OBS_DEU_P1Y_T2M","4928","2005-01-01","10.33","4","3",
"OBS_DEU_P1Y_T2M","4928","2006-01-01","10.86","4","3",
"OBS_DEU_P1Y_T2M","4928","2007-01-01","11.13","4","3",
"OBS_DEU_P1Y_T2M","4928","2008-01-01","10.67","4","9",
"OBS_DEU_P1Y_T2M","4928","2009-01-01","10.56","4","9",
"OBS_DEU_P1Y_T2M","4928","2010-01-01","9.42","4","9",
"OBS_DEU_P1Y_T2M","4928","2011-01-01","11.21","4","9",
"OBS_DEU_P1Y_T2M","4928","2012-01-01","10.75","4","9",
"OBS_DEU_P1Y_T2M","4928","2013-01-01","10.02","4","9",
"OBS_DEU_P1Y_T2M","4928","2014-01-01","11.8","4","9",
"OBS_DEU_P1Y_T2M","4928","2015-01-01","11.62","4","9",
"OBS_DEU_P1Y_T2M","4928","2016-01-01","10.86","4","9",
"OBS_DEU_P1Y_T2M","4928","2017-01-01","11.1","4","9",
"OBS_DEU_P1Y_T2M","4928","2018-01-01","12.1","4","9",
"OBS_DEU_P1Y_T2M","4928","2019-01-01","11.56","4","9",
"OBS_DEU_P1Y_T2M","4928","2020-01-01","11.96","4","9",
"OBS_DEU_P1Y_T2M","4928","2021-01-01","10.4","4","9",
"OBS_DEU_P1Y_T2M","4928","2022-01-01","12.22","4","9",
"OBS_DEU_P1Y_T2M","4928","2023-01-01","12.31","4","3",
"OBS_DEU_P1Y_T2M","4928","2024-01-01","12.08","4","1",
